INDEXATION CARBURANT Clients 2026;;;;;;;;;;;;;;;;;;;;
;;;;;;Jours;Ouvrables;;26;24;26;25;22;26;26;25;26;27;24;26
;;;;;;;Ouvrés;;21;20;22;21;17;22;22;21;22;22;20;22
;;;;;;;;;;;;;;;;;;;;
CLIENTS;Contrats;Code Facturation;Indice de Référence;Base indice;Pondération;Mode de Facturation IGO;Valeur de Réf.;;janv-26;févr-26;mars-26;avr-26;mai-26;juin-26;juil-26;août-26;sept-26;oct-26;nov-26;déc-26
DACHSER VILLEPARISIS ;535_FT_378;DACHS;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;9,91%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
DACHSER VILLEPARISIS ;535_FT_5048;DACHS;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;9,90%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
DACHSER VILLEPARISIS ;T 962;DACHS;187,15;CNR GO PRO M-2;17,00%;% Pied de facture;;;6,90%;-0,51%;0,05%;0,56%;5,53%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%
DACHSER VILLEPARISIS ;T 964;DACHS;187,15;CNR GO PRO M-2;17,00%;% Pied de facture;;;6,90%;-0,51%;0,05%;0,56%;5,53%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%
DACHSER VILLEPARISIS ;T963;DACHS;187,15;CNR GO PRO M-2;17,00%;% Pied de facture;;;6,90%;-0,51%;0,05%;0,56%;5,53%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%;-17,00%
DACHSER VILLEPARISIS ;917;DACHS;187,15;CNR GO PRO M-1;22,10%;% Pied de facture;;;-0,66%;0,06%;0,73%;7,20%;-22,10%;-22,10%;-22,10%;-22,10%;-22,10%;-22,10%;-22,10%;-22,10%
DACHSER VILLEPARISIS ;527_535_FT_425;DACHS;183,25;CNR GO PRO M-1;22,40%;% Pied de facture;;;-0,21%;0,54%;1,23%;7,92%;-22,40%;-22,40%;-22,40%;-22,40%;-22,40%;-22,40%;-22,40%;-22,40%
DACHSER WISSOUS;534_FT_115;DAWIS;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;1,65%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
DACHSER WISSOUS;534_FT_5022;DAWIS;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;8,77%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
DGF;;DGF;;;;;;;;;;;;;;;;;;
